scd,gender,age_grp,weekday,total_qty,total_amt,event_product,num_category,ctg_0,ctg_1,ctg_2,ctg_3,amt/qty
20230101963226,1,3,0,8,37.3211564512129,0,2,0,1,1,0,4.6651445564016125
20230101963229,1,5,0,1,9.00380808646717,0,1,0,0,1,0,9.00380808646717
20230101963246,1,2,0,2,9.574080300037034,0,1,0,1,0,0,4.787040150018517
20230101963265,0,3,0,5,43.665790125141925,0,3,1,1,1,0,8.733158025028384
20230101963284,0,4,0,3,24.197277685316138,0,2,1,0,0,1,8.065759228438713
20230101963346,1,5,0,2,10.652566005416872,0,1,1,0,0,0,5.326283002708436
20230101963357,0,3,0,4,11.862955379523507,0,1,0,0,0,1,2.965738844880877
20230101963403,0,3,0,3,15.728816785963412,0,1,0,0,1,0,5.978193125817091
20230101963411,1,3,0,1,10.698152876286422,1,1,1,0,0,0,10.698152876286422
20230101963413,1,4,0,7,32.97792537347783,3,2,1,0,0,1,4.877898313430186
20230101963415,1,2,0,4,28.49270030398103,0,2,1,0,0,1,7.842407302239398
20230101963472,0,3,0,1,9.195226734166134,0,1,0,1,0,0,9.195226734166134
20230101963481,0,3,0,3,21.435253441346955,2,1,0,0,0,1,7.902277895889993
20230101963523,1,2,0,1,9.911654115202522,0,1,1,0,0,0,9.911654115202522
20230101963537,1,3,0,6,52.56355262621354,0,3,1,1,0,0,8.760592104368923
20230101963550,1,3,0,3,9.25674674479034,0,1,0,1,0,0,3.0855822482634463
20230101963555,0,5,0,1,9.20923976653215,0,1,1,0,0,0,9.20923976653215
20230101963564,0,4,0,5,27.90104193884992,0,2,0,1,0,0,6.13565320441987
20230101963566,0,3,0,3,17.591948383189276,0,2,1,0,0,1,6.247224246452572
20230101963571,1,5,0,1,9.559305672844864,0,1,1,0,0,0,9.559305672844864
20230101963574,0,3,0,7,17.43885558185444,0,2,1,1,0,0,2.94628372983953
20230101963584,0,5,0,13,102.83283600603109,0,1,0,0,1,0,7.910218154310083
20230101963611,1,6,0,1,8.798454696065095,0,1,0,0,0,1,8.798454696065095
20230101963624,1,4,0,1,8.570923513837204,0,1,1,0,0,0,8.570923513837204
20230101963681,1,4,0,12,82.5437326696413,0,2,1,0,0,1,7.961832737175603
20230101963704,1,2,0,15,28.4058845609044,0,1,0,0,1,0,1.8937256373936266
20230101963715,1,3,0,7,36.877557863940496,0,4,0,1,1,1,5.666662636630065
20230101963778,1,2,0,2,23.62473186004218,2,2,1,0,0,1,11.81236593002109
20230101963788,1,2,0,1,9.568783751310876,0,1,0,1,1,0,9.568783751310876
20230101963790,0,3,0,1,9.826174449433458,1,1,0,0,1,0,9.826174449433458
20230101963838,1,3,0,20,13.012756079139162,1,1,0,0,0,1,0.6506378039569581
20230101963904,0,4,0,1,9.37203396097417,0,1,1,0,0,0,9.37203396097417
20230101963907,0,3,0,52,117.21614565868433,0,6,1,1,1,1,6.544951184713326
